City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Avarua,CK,2021-11-24 07:09:42,-21.2078,-159.775,73.45,73,100,5.75
1,Puerto Ayora,EC,2021-11-24 07:11:04,-0.7393,-90.3518,68.56,82,27,6.93
2,Georgetown,MY,2021-11-24 07:08:33,5.4112,100.3354,89.53,67,20,5.75
3,Ternate,ID,2021-11-24 07:11:04,0.8,127.4,84.78,71,100,6.15
4,Mataura,NZ,2021-11-24 07:11:04,-46.1927,168.8643,57.11,63,100,4.88
5,Abengourou,CI,2021-11-24 07:11:05,6.7297,-3.4964,72.39,96,85,1.34
6,Nikolskoye,RU,2021-11-24 07:11:06,59.7035,30.7861,37.87,97,100,13.85
7,Yellowknife,CA,2021-11-24 07:11:06,62.456,-114.3525,-13.45,95,82,8.01
8,Tazovskiy,RU,2021-11-24 07:10:22,67.4667,78.7,4.41,95,96,9.86
9,Ushuaia,AR,2021-11-24 07:11:06,-54.8,-68.3,42.46,81,75,5.75
10,Atuona,PF,2021-11-24 07:11:07,-9.8,-139.0333,77.67,77,30,12.62
11,Cape Town,ZA,2021-11-24 07:09:03,-33.9258,18.4232,72.12,52,50,13.87
12,Westport,US,2021-11-24 07:11:07,41.1415,-73.3579,32.99,66,1,5.01
13,Gamba,GA,2021-11-24 07:11:08,-2.65,10.0,77.72,85,86,2.26
14,Gorom-Gorom,BF,2021-11-24 07:11:08,14.4439,-0.2361,76.3,25,4,10.13
15,Rikitea,PF,2021-11-24 07:08:28,-23.1203,-134.9692,76.33,84,91,16.4
16,Chuy,UY,2021-11-24 07:11:09,-33.6971,-53.4616,51.08,85,0,4.59
17,Jamestown,US,2021-11-24 07:11:09,42.097,-79.2353,31.59,80,1,1.01
18,Cockburn Town,TC,2021-11-24 07:11:10,21.4612,-71.1419,79.36,76,32,14.99
19,Ballina,AU,2021-11-24 07:07:21,-28.8667,153.5667,73.58,98,100,11.36
20,Zahesi,GE,2021-11-24 07:11:10,41.8246,44.7536,55.11,56,91,6.17
21,Kaitangata,NZ,2021-11-24 07:11:10,-46.2817,169.8464,57.09,71,86,4.32
22,Hermanus,ZA,2021-11-24 07:11:11,-34.4187,19.2345,71.91,66,13,13.2
23,Punta Arenas,CL,2021-11-24 07:11:11,-53.15,-70.9167,41.11,81,20,5.75
24,Kavieng,PG,2021-11-24 07:11:12,-2.5744,150.7967,84.06,73,100,11.65
25,Richards Bay,ZA,2021-11-24 07:11:12,-28.783,32.0377,71.55,51,4,19.39
26,Hobart,AU,2021-11-24 07:11:13,-42.8794,147.3294,71.11,68,75,12.66
27,Albany,US,2021-11-24 07:07:45,42.6001,-73.9662,26.1,72,0,1.99
28,Faanui,PF,2021-11-24 07:11:13,-16.4833,-151.75,80.89,75,37,5.3
29,Ust-Nera,RU,2021-11-24 07:11:13,64.5667,143.2,-17.14,97,100,4.54
30,Takoradi,GH,2021-11-24 07:11:14,4.8845,-1.7554,80.42,80,42,4.36
31,Ilave,PE,2021-11-24 07:11:14,-16.0833,-69.6667,45.88,82,100,5.14
32,Kokoda,PG,2021-11-24 07:11:15,-8.8785,147.7407,79.2,91,93,3.83
33,Hithadhoo,MV,2021-11-24 07:11:15,-0.6,73.0833,81.93,77,98,19.28
34,Kodiak,US,2021-11-24 07:11:16,57.79,-152.4072,11.71,62,20,6.91
35,Busselton,AU,2021-11-24 07:11:16,-33.65,115.3333,85.08,42,0,13.35
36,Iskateley,RU,2021-11-24 07:11:17,67.6803,53.1512,10.71,91,100,7.14
37,Vanimo,PG,2021-11-24 07:11:17,-2.6741,141.3028,81.79,85,100,5.86
38,Tiksi,RU,2021-11-24 07:11:17,71.6872,128.8694,-20.56,98,39,7.58
39,Cherskiy,RU,2021-11-24 07:11:18,68.75,161.3,-23.55,95,100,4.72
40,Port Elizabeth,ZA,2021-11-24 07:11:18,-33.918,25.5701,63.1,72,100,6.85
41,Atbasar,KZ,2021-11-24 07:11:19,51.8,68.3333,21.18,94,100,4.27
42,Ixtapa,MX,2021-11-24 07:11:19,20.7,-105.2,69.76,82,20,3.24
43,Rohnert Park,US,2021-11-24 07:11:45,38.3396,-122.7011,58.82,80,0,1.99
44,Carnarvon,AU,2021-11-24 07:11:07,-24.8667,113.6333,87.87,40,0,18.41
45,Bredasdorp,ZA,2021-11-24 07:12:20,-34.5322,20.0403,66.27,60,39,14.45
46,Norman Wells,CA,2021-11-24 07:12:20,65.282,-126.8329,-15.84,96,100,0.34
47,Tautira,PF,2021-11-24 07:12:20,-17.7333,-149.15,78.82,79,64,10.54
48,Louveira,BR,2021-11-24 07:12:21,-23.0864,-46.9506,71.08,87,100,10.54
49,Faya,SA,2021-11-24 07:12:21,18.3851,42.4509,64.92,18,6,5.21
50,Thinadhoo,MV,2021-11-24 07:12:21,0.5333,72.9333,82.36,77,99,19.84
51,Khatanga,RU,2021-11-24 07:12:22,71.9667,102.5,-2.69,87,100,7.52
52,Artyom,AZ,2021-11-24 07:12:22,40.4723,50.333,53.74,60,19,12.86
53,Upernavik,GL,2021-11-24 07:12:22,72.7868,-56.1549,12.85,65,100,6.87
54,Siuna,NI,2021-11-24 07:12:23,13.7332,-84.7773,68.79,95,12,3.53
55,Pasni,PK,2021-11-24 07:12:23,25.2631,63.471,81.88,31,81,4.0
56,Yulara,AU,2021-11-24 07:12:24,-25.2406,130.9889,76.84,31,40,14.97
57,Asyut,EG,2021-11-24 07:12:24,27.181,31.1837,67.69,48,56,5.59
58,Roma,US,2021-11-24 07:11:29,43.2128,-75.4557,22.87,87,1,0.0
59,Usinsk,RU,2021-11-24 07:12:25,65.9939,57.5281,16.72,94,100,18.45
60,Boyolangu,ID,2021-11-24 07:12:25,-8.1181,111.8935,86.13,65,19,7.45
61,Heishan,CN,2021-11-24 07:12:26,41.6892,122.1128,33.1,57,9,1.1
62,Arraial Do Cabo,BR,2021-11-24 07:12:26,-22.9661,-42.0278,71.04,87,100,4.18
63,Mount Gambier,AU,2021-11-24 07:12:27,-37.8333,140.7667,66.18,66,79,10.42
64,Pisco,PE,2021-11-24 07:12:27,-13.7,-76.2167,62.65,88,100,3.44
65,Comodoro Rivadavia,AR,2021-11-24 07:08:53,-45.8667,-67.5,64.26,42,0,14.97
66,Fort Nelson,CA,2021-11-24 07:12:27,58.8053,-122.7002,-11.47,100,100,0.4
67,Pangnirtung,CA,2021-11-24 07:12:28,66.1451,-65.7125,24.75,96,100,10.02
68,Lingao,CN,2021-11-24 07:12:28,19.9103,109.6859,71.1,64,73,10.78
69,Qaqortoq,GL,2021-11-24 07:12:29,60.7167,-46.0333,28.9,92,100,12.3
70,Bathsheba,BB,2021-11-24 07:12:29,13.2167,-59.5167,77.61,83,40,5.75
71,New Norfolk,AU,2021-11-24 07:12:29,-42.7826,147.0587,70.75,61,98,1.99
72,Nushki,PK,2021-11-24 07:12:30,29.5542,66.0215,72.5,19,1,5.08
73,Cidreira,BR,2021-11-24 07:12:30,-30.1811,-50.2056,62.82,71,1,6.2
74,Coquimbo,CL,2021-11-24 07:12:30,-29.9533,-71.3436,58.73,82,90,5.75
75,Verkhnyaya Toyma,RU,2021-11-24 07:12:31,62.2349,44.9985,9.82,97,100,3.51
76,East London,ZA,2021-11-24 07:12:31,-33.0153,27.9116,60.35,80,99,6.73
77,Port Alfred,ZA,2021-11-24 07:12:31,-33.5906,26.891,63.03,70,91,9.55
78,Piraquara,BR,2021-11-24 07:12:32,-25.4417,-49.0633,62.31,89,90,5.75
79,Mahebourg,MU,2021-11-24 07:12:32,-20.4081,57.7,81.25,66,79,11.77
80,Nizwa,OM,2021-11-24 07:09:54,22.9333,57.5333,87.3,17,19,3.38
81,Awbari,LY,2021-11-24 07:12:33,26.5921,12.7805,70.43,32,6,6.2
82,Bethel,US,2021-11-24 07:12:33,41.3712,-73.414,31.19,65,1,3.0
83,Chimoio,MZ,2021-11-24 07:12:34,-19.1164,33.4833,79.57,60,100,9.22
84,Hilo,US,2021-11-24 07:12:34,19.7297,-155.09,82.27,86,75,0.0
85,Bengkulu,ID,2021-11-24 07:10:58,-3.8004,102.2655,82.36,65,100,1.41
86,Butaritari,KI,2021-11-24 07:12:35,3.0707,172.7902,81.79,73,20,10.09
87,Bac Lieu,VN,2021-11-24 07:12:35,9.285,105.7244,85.39,67,100,18.37
88,Nanortalik,GL,2021-11-24 07:12:35,60.1432,-45.2371,36.73,95,100,13.62
89,Narsaq,GL,2021-11-24 07:12:36,60.9167,-46.05,28.62,95,100,11.56
90,Leningradskiy,RU,2021-11-24 07:13:36,69.3833,178.4167,-17.54,81,100,3.0
91,Banjarmasin,ID,2021-11-24 07:13:36,-3.3244,114.591,87.94,74,82,5.48
92,Yar-Sale,RU,2021-11-24 07:13:37,66.8333,70.8333,8.13,95,100,6.02
93,Tuktoyaktuk,CA,2021-11-24 07:13:37,69.4541,-133.0374,-7.6,100,100,4.79
94,Vestmannaeyjar,IS,2021-11-24 07:13:38,63.4427,-20.2734,36.95,69,0,28.05
95,Matucana,PE,2021-11-24 07:13:38,-11.85,-76.4,37.18,89,100,1.32
96,Phan Thiet,VN,2021-11-24 07:10:54,10.9333,108.1,85.82,67,100,17.27
97,Barrow,US,2021-11-24 07:13:39,71.2906,-156.7887,-0.38,71,90,11.5
98,Puerto Escondido,MX,2021-11-24 07:13:39,15.85,-97.0667,76.98,65,0,5.23
99,Pevek,RU,2021-11-24 07:13:40,69.7008,170.3133,-22.32,100,100,4.0
100,Uige,AO,2021-11-24 07:13:40,-7.6087,15.0613,68.85,97,100,1.66
101,Torbay,CA,2021-11-24 07:13:40,47.6666,-52.7314,45.28,97,100,1.99
102,Half Moon Bay,US,2021-11-24 07:13:41,37.4636,-122.4286,57.4,82,40,0.0
103,Sorland,NO,2021-11-24 07:13:41,67.667,12.6934,35.46,51,40,18.41
104,Nurota,UZ,2021-11-24 07:13:42,40.5614,65.6886,57.29,38,62,9.82
105,Zhanaozen,KZ,2021-11-24 07:13:42,43.3,52.8,49.55,77,100,12.82
106,Ahipara,NZ,2021-11-24 07:13:42,-35.1667,173.1667,61.36,90,100,3.13
107,Mehamn,NO,2021-11-24 07:13:43,71.0357,27.8492,23.18,67,0,11.5
108,Provideniya,RU,2021-11-24 07:13:43,64.3833,-173.3,5.61,74,6,5.7
109,Sorong,ID,2021-11-24 07:13:44,-0.8833,131.25,85.77,72,67,5.32
110,Fairbanks,US,2021-11-24 07:09:26,64.8378,-147.7164,-8.39,72,1,0.0
111,Lisala,CD,2021-11-24 07:13:44,2.15,21.5167,81.5,54,6,1.61
112,Wattegama,LK,2021-11-24 07:13:45,6.7989,81.4808,83.91,72,100,7.58
113,Ponta Do Sol,PT,2021-11-24 07:13:45,32.6667,-17.1,67.01,82,100,11.07
114,Thompson,CA,2021-11-24 07:13:45,55.7435,-97.8558,-7.06,84,100,10.22
115,Srednekolymsk,RU,2021-11-24 07:13:46,67.45,153.6833,-13.77,96,100,1.16
116,Sitka,US,2021-11-24 07:13:45,57.0531,-135.33,37.29,70,90,18.41
117,Lompoc,US,2021-11-24 07:10:32,34.6391,-120.4579,66.09,86,1,0.0
118,Samarai,PG,2021-11-24 07:13:46,-10.6167,150.6667,84.79,74,34,10.11
119,Kahului,US,2021-11-24 07:13:47,20.8947,-156.47,75.85,74,20,3.44
120,Egvekinot,RU,2021-11-24 07:13:47,66.3167,-179.1667,-4.99,66,88,6.44
121,Aklavik,CA,2021-11-24 07:13:48,68.2191,-135.0107,-19.48,99,98,3.38
122,Padang,ID,2021-11-24 07:10:00,-0.9492,100.3543,87.85,69,100,4.56
123,Chino Valley,US,2021-11-24 07:13:48,34.7575,-112.4538,52.36,81,1,1.99
124,Bilma,NE,2021-11-24 07:13:49,18.6853,12.9164,75.49,20,1,6.24
125,Hualmay,PE,2021-11-24 07:13:49,-11.0964,-77.6139,65.1,87,100,8.41
126,Kapaa,US,2021-11-24 07:13:49,22.0752,-159.319,75.52,70,40,8.05
127,Jiaojiang,CN,2021-11-24 07:13:50,28.6803,121.4428,63.0,54,51,4.61
128,Burnie,AU,2021-11-24 07:13:50,-41.0667,145.9167,63.72,78,100,4.07
129,Lebu,CL,2021-11-24 07:13:51,-37.6167,-73.65,53.83,96,65,4.52
130,Dourbali,TD,2021-11-24 07:13:51,11.8091,15.8632,81.75,17,100,14.47
131,Haimen,CN,2021-11-24 07:13:52,23.1935,116.6142,66.97,54,0,12.26
132,Qaanaaq,GL,2021-11-24 07:13:52,77.484,-69.3632,-6.39,64,0,6.96
133,Trairi,BR,2021-11-24 07:13:44,-3.2778,-39.2689,80.8,73,98,10.85
134,Vila Do Maio,CV,2021-11-24 07:13:53,15.1333,-23.2167,74.19,78,100,9.4
135,Marsh Harbour,BS,2021-11-24 07:13:53,26.5412,-77.0636,69.64,64,100,20.74
136,Saint-Philippe,RE,2021-11-24 07:14:53,-21.3585,55.7679,83.75,68,22,10.27
137,Kormilovka,RU,2021-11-24 07:14:54,55.0026,74.1028,11.95,92,100,12.77
138,Makokou,GA,2021-11-24 07:14:54,0.5738,12.8642,72.41,93,80,0.96
139,Sint-Truiden,BE,2021-11-24 07:14:55,50.8154,5.184,42.85,89,7,3.31
140,Taber,CA,2021-11-24 07:14:55,49.8167,-112.1518,22.87,86,100,6.91
141,Bandarbeyla,SO,2021-11-24 07:14:55,9.4942,50.8122,85.68,55,37,19.06
142,Port Blair,IN,2021-11-24 07:14:56,11.6667,92.75,83.8,78,100,16.69
143,Haines Junction,CA,2021-11-24 07:14:56,60.7522,-137.5108,-4.05,77,100,1.14
144,Douglas,US,2021-11-24 07:14:56,41.3,-96.167,55.89,54,1,5.01
145,Bluff,NZ,2021-11-24 07:14:57,-46.6,168.3333,56.89,74,100,14.97
146,Chokurdakh,RU,2021-11-24 07:14:57,70.6333,147.9167,-21.5,98,100,3.31
147,Bani,DO,2021-11-24 07:14:58,18.2833,-70.3333,74.21,84,100,4.32
148,Dikson,RU,2021-11-24 07:14:58,73.5069,80.5464,9.57,91,100,8.1
149,Bambous Virieux,MU,2021-11-24 07:14:58,-20.3428,57.7575,84.45,61,20,21.85
150,San Cristobal,VE,2021-11-24 07:14:59,7.7669,-72.225,65.7,87,100,1.43
151,Saint George,US,2021-11-24 07:15:00,37.1041,-113.5841,54.36,40,1,0.0
152,Vaini,TO,2021-11-24 07:15:00,-21.2,-175.2,78.96,89,20,2.3
153,Coihaique,CL,2021-11-24 07:15:00,-45.5752,-72.0662,54.21,82,90,6.91
154,Xiaoshan,CN,2021-11-24 07:15:01,30.1675,120.2588,62.46,23,0,8.95
155,Nantucket,US,2021-11-24 07:15:01,41.2835,-70.0995,33.96,59,1,17.27
156,Makakilo City,US,2021-11-24 07:15:01,21.3469,-158.0858,73.72,72,1,4.61
157,Tasiilaq,GL,2021-11-24 07:15:02,65.6145,-37.6368,24.96,75,100,4.63
158,Olafsvik,IS,2021-11-24 07:15:02,64.8945,-23.7142,33.19,62,20,12.59
159,Lucapa,AO,2021-11-24 07:15:02,-8.4192,20.7447,71.26,86,100,2.13
160,Wagar,SD,2021-11-24 07:15:03,16.1525,36.2032,78.84,52,1,7.34
161,Dingle,PH,2021-11-24 07:15:03,10.9995,122.6711,80.8,86,100,13.27
162,Diebougou,BF,2021-11-24 07:15:04,10.9667,-3.25,73.9,25,0,3.11
163,Mendoza,AR,2021-11-24 07:11:04,-32.8908,-68.8272,71.4,63,0,3.09
164,Manavalakurichi,IN,2021-11-24 07:15:04,8.1333,77.3,84.29,82,100,1.32
165,Bubaque,GW,2021-11-24 07:15:04,11.2833,-15.8333,81.97,79,51,10.02
166,Kasangulu,CD,2021-11-24 07:15:05,-4.5911,15.1708,74.62,91,77,3.62
167,Ajdabiya,LY,2021-11-24 07:15:06,30.7554,20.2263,68.36,53,88,8.34
168,Mvomero,TZ,2021-11-24 07:15:06,-6.25,38.6667,90.37,50,16,6.8
169,Hambantota,LK,2021-11-24 07:15:07,6.1241,81.1185,84.47,67,100,2.86
170,Khammam,IN,2021-11-24 07:15:07,17.25,80.15,86.9,61,17,5.73
171,Noumea,NC,2021-11-24 07:14:51,-22.2763,166.4572,80.01,99,100,9.04
172,Utete,TZ,2021-11-24 07:15:08,-7.986,38.758,92.17,45,79,4.05
173,Alofi,NU,2021-11-24 07:10:59,-19.0595,-169.9187,78.58,74,12,6.55
174,Srivardhan,IN,2021-11-24 07:15:08,18.0333,73.0167,89.38,61,66,4.79
175,Gerash,IR,2021-11-24 07:15:09,27.6652,54.1371,70.99,24,13,5.3
176,Silifke,TR,2021-11-24 07:15:09,36.3778,33.9344,64.69,79,38,5.5
177,Cap Malheureux,MU,2021-11-24 07:15:10,-19.9842,57.6142,84.69,67,86,8.99
178,Walvis Bay,NA,2021-11-24 07:15:10,-22.9575,14.5053,59.09,82,90,10.36
179,San Miguel,SV,2021-11-24 07:15:11,13.4833,-88.1833,71.08,74,46,3.22
180,Ugoofaaru,MV,2021-11-24 07:15:11,5.6667,73.0,81.27,72,100,15.08
181,Husavik,IS,2021-11-24 07:16:11,66.0449,-17.3389,30.11,73,100,28.12
182,Henties Bay,NA,2021-11-24 07:16:12,-22.116,14.2845,58.86,79,98,3.24
183,Constitucion,CL,2021-11-24 07:12:49,-35.3333,-72.4167,55.04,87,74,11.36
184,Kieta,PG,2021-11-24 07:16:12,-6.2167,155.6333,83.32,76,36,4.7
185,Pechenga,RU,2021-11-24 07:16:13,69.5259,31.1703,23.86,96,100,5.7
186,Souillac,MU,2021-11-24 07:16:13,-20.5167,57.5167,84.58,61,20,21.85
187,San Vicente,AR,2021-11-24 07:16:14,-26.6167,-54.1333,63.91,77,71,3.31
188,Nichinan,JP,2021-11-24 07:16:14,31.6,131.3667,58.68,56,22,9.26
